run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1785614305_20307,defeat,11,503542,5,0,0,
run_1785614810_47179,defeat,12,571711,6,0,0,
run_1785615383_52853,defeat,15,770250,9,0,0,
run_1785616155_69537,defeat,11,535807,5,0,0,
run_1785616692_32511,defeat,11,534493,5,0,0,
run_1785617227_30393,defeat,9,406156,3,0,0,
run_1785617635_7226,defeat,11,514383,5,0,0,
run_1785618150_81851,defeat,10,466084,4,0,0,
run_1785618618_82843,defeat,11,528623,5,0,0,
run_1785619148_32612,defeat,8,344821,2,0,0,
run_1785619494_12350,defeat,9,381745,3,0,0,
run_1785619877_75550,defeat,10,457842,4,0,0,
run_1785620336_52210,defeat,11,508892,5,0,0,
run_1785620846_29837,defeat,11,531386,5,0,0,
run_1785621379_65130,defeat,9,397713,3,0,0,
run_1785621778_21805,defeat,10,479198,4,0,0,
