run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1785506217_93416,defeat,17,943987,11,0,0,
run_1785507162_83405,defeat,16,882656,10,0,0,
run_1785508046_30714,victory,20,1215062,14,0,0,
run_1785509262_78500,defeat,17,953260,11,0,0,
run_1785510217_40380,victory,20,1152683,14,0,0,
run_1785511371_39609,victory,20,1156434,14,0,0,
run_1785512529_99080,victory,20,1226080,14,0,0,
run_1785513756_96182,victory,20,1161368,14,0,0,
run_1785514919_46039,victory,20,1194284,14,0,0,
run_1785516114_49917,victory,20,1217740,14,0,0,
run_1785517333_32037,defeat,20,1152062,14,0,0,
run_1785518487_51845,defeat,16,894378,10,0,0,
run_1785519382_36010,defeat,17,922164,11,0,0,
run_1785520306_53825,defeat,16,902155,10,0,0,
run_1785521209_36596,defeat,17,945424,11,0,0,
run_1785522156_32109,victory,20,1206492,14,0,0,
