run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1785489741_41660,defeat,17,927134,11,0,0,
run_1785490670_6961,defeat,20,1134392,14,0,0,
run_1785491805_14766,defeat,16,881139,10,0,0,
run_1785492688_43454,defeat,17,954717,11,0,0,
run_1785493644_63325,defeat,20,1128371,14,0,0,
run_1785494774_7647,defeat,17,932392,11,0,0,
run_1785495707_45250,defeat,16,889234,10,0,0,
run_1785496598_7578,defeat,16,893758,10,0,0,
run_1785497493_51490,defeat,19,1100815,13,0,0,
run_1785498595_65316,defeat,16,869999,10,0,0,
run_1785499466_9082,victory,20,1156930,14,0,0,
run_1785500625_48090,defeat,13,682599,7,0,0,
run_1785501308_37621,defeat,19,1101686,13,0,0,
run_1785502411_92212,defeat,17,926638,11,0,0,
run_1785504068_38555,defeat,15,796838,9,0,0,
run_1785504866_59957,defeat,17,944702,11,0,0,
