run_id,result,last_wave,duration_ms,recoveries,errors,hangs,failure_category
run_1785767708_21879,defeat,7,285487,1,0,0,
run_1785767995_37848,defeat,7,271470,1,0,0,
run_1785768455_42044,defeat,12,583411,6,0,0,
run_1785769039_77971,defeat,12,588960,6,0,0,
run_1785769630_27303,defeat,11,543647,5,0,0,
run_1785770174_45166,defeat,11,528059,5,0,0,
run_1785770704_59997,defeat,7,261159,1,0,0,
run_1785770966_40695,defeat,7,283744,1,0,0,
run_1785771251_53203,defeat,11,510689,5,0,0,
run_1785771763_20515,defeat,12,607040,6,0,0,
run_1785772372_66131,defeat,6,223552,0,0,0,
run_1785772596_61603,defeat,9,389743,3,0,0,
run_1785772987_71550,defeat,14,752854,8,0,0,
run_1785773742_57796,defeat,11,524982,5,0,0,
run_1785774268_7839,defeat,7,247861,1,0,0,
run_1785774517_69209,defeat,11,522257,5,0,0,
